City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
kysyl-syr,96,RU,1636931520,98,63.8986,122.7617,-8.73,3.15
namibe,100,AO,1636931520,81,-15.1961,12.1522,71.71,2.55
nelson bay,1,NZ,1636931520,51,-41.2833,173.2833,73.8,10.63
buraydah,95,SA,1636931521,33,26.326,43.975,63.28,8.66
pitea,100,SE,1636931521,84,65.3172,21.4794,31.1,9.57
ambovombe,98,MG,1636931521,90,-25.1667,46.0833,71.76,4.63
broome,90,US,1636931522,77,42.2506,-75.833,41.38,1.01
noumea,33,NC,1636931522,99,-22.2763,166.4572,87.78,8.63
marrakesh,0,MA,1636931523,67,31.6315,-8.0083,57.27,1.14
dongsheng,10,CN,1636931523,43,39.8161,109.9776,27.73,6.51
loukhi,6,RU,1636931523,87,66.0764,33.0381,18.54,4.97
okha,60,RU,1636931524,88,53.5739,142.9478,23.92,14.92
lensk,75,RU,1636931524,99,60.7253,114.9278,5.83,3.33
krasnoselkup,55,RU,1636931524,100,65.7,82.4667,-14.3,6.29
anacortes,90,US,1636931343,96,48.5126,-122.6127,62.76,1.01
bongandanga,47,CD,1636931477,91,1.5,21.05,70.39,0.83
lahaina,100,US,1636931525,89,20.8783,-156.6825,78.8,2.68
onalaska,64,US,1636931525,67,43.8844,-91.2351,32.49,7.0
yarkovo,93,RU,1636931525,92,57.4028,67.0786,14.36,7.09
cap malheureux,49,FR,1636931526,87,49.2718,-1.2104,55.02,5.06
lavrentiya,92,RU,1636931526,94,65.5833,-171.0,12.67,5.48
tehri,0,IN,1636931526,56,30.3833,78.4833,53.2,4.74
high level,29,US,1636931527,56,33.6123,-95.7472,65.17,2.86
pisco,0,PE,1636931527,72,-13.7,-76.2167,66.25,13.8
olinda,40,BR,1636931527,74,-8.0089,-34.8553,82.13,8.05
zhuanghe,1,CN,1636931528,66,39.7008,122.9911,39.24,6.49
sembe,56,CG,1636931528,93,1.6481,14.5806,68.68,2.57
mazamari,96,PE,1636931528,94,-11.3258,-74.5308,73.62,1.99
jasper,1,US,1636931529,48,37.2001,-94.3502,53.55,4.61
namatanai,99,PG,1636931529,70,-3.6667,152.4333,84.07,6.29
lata,0,PT,1636931529,66,40.1629,-8.3327,52.81,3.15
tosno,16,RU,1636931529,77,59.54,30.8775,32.95,8.05
santa cruz,88,PH,1636931456,79,17.486,120.4348,77.11,4.52
ivanteyevka,98,RU,1636931530,80,55.9711,37.9208,34.48,10.87
makhinjauri,0,GE,1636931530,87,41.6739,41.694,46.26,11.5
amarillo,1,US,1636931249,27,35.222,-101.8313,64.81,3.0
arinos,100,BR,1636931531,88,-15.9169,-46.1056,66.16,5.41
honningsvag,100,NO,1636931531,65,70.9821,25.9704,31.24,21.63
minsk,49,BY,1636931399,90,53.9,27.5667,33.55,7.09
boden,100,SE,1636931531,82,65.8252,21.6886,29.57,7.58
gangapur,0,IN,1636931532,42,26.4833,76.7167,62.46,2.66
danilov,89,RU,1636931532,80,58.1908,40.1717,28.29,9.1
